Point ID,density,Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
7098,1,1.53452e-05,2.64718e-05,1,1,-48,-46,-0.940314,66.4897,1.48285e-06,1.10954e-05,8.12953e-06,1.38346e-05
7156,1,8.94372e-05,0.000108748,1,1,-48,-45,-0.94033,65.8019,9.036e-07,1.59296e-05,8.08222e-06,1.78855e-05
7214,1,-6.22092e-05,0.000137232,1,1,-48,-44,-0.940529,65.1221,1.89132e-06,2.26432e-05,8.03858e-06,2.41021e-05
7272,1,5.88239e-05,8.57001e-05,1,1,-48,-43,-0.940601,64.4506,1.24941e-06,2.73514e-05,7.91031e-06,2.84997e-05
7330,1,9.7842e-05,0.000171307,1,1,-48,-42,-0.940698,63.7878,1.57742e-06,3.20333e-05,7.81627e-06,3.30108e-05
7388,1,9.81707e-05,0.000312715,1,1,-48,-41,-0.940939,63.1339,1.62601e-06,3.7534e-05,7.72967e-06,3.83561e-05
7446,1,-5.08385e-05,0.00036177,1,1,-48,-40,-0.941315,62.4891,1.39495e-06,4.3195e-05,7.56867e-06,4.38753e-05
7504,1,0.000159381,0.000542261,1,1,-48,-39,-0.941653,61.8538,2.44886e-06,4.74941e-05,7.3862e-06,4.81274e-05
7562,1,0.000149771,0.000845166,1,1,-48,-38,-0.942386,61.2282,2.46079e-06,5.35719e-05,7.27965e-06,5.41202e-05
7620,1,0.000154262,0.00104722,0.999999,1,-48,-37,-0.943323,60.6126,1.41589e-06,6.00109e-05,7.09746e-06,6.04457e-05
7678,1,6.87929e-05,0.00123324,0.999999,1,-48,-36,-0.944456,60.0074,1.26942e-06,6.62159e-05,6.92114e-06,6.65887e-05
7737,1,5.31967e-05,0.00144927,0.999999,1,-48,-35,-0.945762,59.4129,2.06409e-06,7.28322e-05,6.78148e-06,7.31764e-05
7795,1,5.52781e-05,0.0016923,0.999999,1,-48,-34,-0.947324,58.8294,2.42254e-06,7.97168e-05,6.64648e-06,8.003e-05
7851,1,-9.60589e-05,0.0017545,0.999998,1,-48,-33,-0.949113,58.2572,2.20604e-06,8.74741e-05,6.51806e-06,8.77444e-05
7907,1,0.000276502,0.00201764,0.999998,1,-48,-32,-0.950801,57.6967,2.43151e-06,9.28457e-05,6.20205e-06,9.30844e-05
7964,1,9.78428e-05,0.00248122,0.999997,1,-48,-31,-0.953117,57.1481,2.47006e-06,0.000101758,5.98408e-06,0.000101964
8020,1,-4.61804e-06,0.00269017,0.999996,1,-48,-30,-0.95573,56.612,2.69263e-06,0.000110501,5.71194e-06,0.000110681
8076,1,2.92951e-06,0.00277566,0.999996,1,-48,-29,-0.958467,56.0885,2.73825e-06,0.000118723,5.37472e-06,0.000118876
8131,1,0.000187785,0.00296098,0.999996,1,-48,-28,-0.961258,55.5781,2.79695e-06,0.000126059,4.94532e-06,0.000126187
8182,1,2.57371e-05,0.00311386,0.999995,1,-48,-27,-0.964372,55.0811,2.49621e-06,0.000135722,4.53707e-06,0.000135821
8231,1,-0.000342423,0.0027533,0.999996,1,-48,-26,-0.967477,54.5979,2.92414e-06,0.000146167,4.02249e-06,0.000146251
8277,1,0.000286032,0.0027991,0.999996,1,-48,-25,-0.969879,54.1289,3.09233e-06,0.000150321,3.10808e-06,0.000150384
8323,1,0.000425301,0.00403962,0.999992,1,-48,-24,-0.973085,53.6745,3.48641e-06,0.000157319,2.27119e-06,0.000157374
8367,1,-5.95045e-05,0.00561706,0.999984,1,-48,-23,-0.977988,53.2349,3.66363e-06,0.000169564,1.58995e-06,0.000169611
8410,1,-0.000143372,0.00772854,0.99997,1,-48,-22,-0.984389,52.8107,3.69921e-06,0.000179746,9.04003e-07,0.000179786
8455,1,-9.08003e-06,0.015336,0.999882,1,-48,-20.5726,-1,52.2325,3.93586e-06,0.000190149,2.13569e-07,0.00019019
8456,1,-3.87862e-05,0.011919,0.999929,1,-48,-21,-0.993604,52.4022,3.85617e-06,0.00018737,3.93081e-07,0.00018741
8511,1,-3.52188e-05,-0.0154259,0.999881,1,-48,20.5573,-1,52.2264,8.98974e-07,-0.000190055,2.03121e-07,0.000190057
8538,1,-6.93529e-05,-0.0118965,0.999929,1,-48,21,-0.99339,52.4022,9.05079e-07,-0.000187169,3.91756e-07,0.000187172
8576,1,-0.000184602,-0.00771678,0.99997,1,-48,22,-0.98419,52.8107,8.63159e-07,-0.000179541,9.09522e-07,0.000179545
8616,1,-0.000120836,-0.00562256,0.999984,1,-48,23,-0.9778,53.2349,8.23916e-07,-0.000169489,1.5879e-06,0.000169498
8658,1,0.00038373,-0.00408049,0.999992,1,-48,24,-0.972876,53.6744,7.19621e-07,-0.00015711,2.28721e-06,0.000157128
8702,1,0.000226306,-0.00286717,0.999996,1,-48,25,-0.96961,54.1289,6.70323e-07,-0.000149685,3.11473e-06,0.000149719
8747,1,-0.000196583,-0.00271854,0.999996,1,-48,26,-0.967132,54.5979,-1.44758e-07,-0.000144585,4.01545e-06,0.000144641
